GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FraudDetectPoc,com.bguo.fraud.rule,HighFrequencyRule,8,41,0,2,3,11,0,4,0,3
FraudDetectPoc,com.bguo.fraud.rule,AmountThresholdRule,8,36,0,4,3,9,0,5,0,3
FraudDetectPoc,com.bguo.fraud.rule,SuspiciousAccountRule,8,49,0,2,3,15,0,4,0,3
FraudDetectPoc,com.bguo.fraud.controllers,FraudDetectionController,18,0,0,0,6,0,2,0,2,0
FraudDetectPoc,com.bguo.fraud.services,HighFrequencyService,0,56,1,5,0,13,1,5,0,3
FraudDetectPoc,com.bguo.fraud.services,FraudDetectionService,30,15,0,0,7,3,0,3,0,3
FraudDetectPoc,com.bguo.fraud.services,SuspiciousAccountService,11,73,2,6,2,18,2,6,0,4
FraudDetectPoc,com.bguo.fraud.services,CloudWatchService,185,0,8,0,55,0,9,0,5,0
FraudDetectPoc,com.bguo.fraud.services,SqsService,139,0,2,0,39,0,5,0,4,0
FraudDetectPoc,com.bguo.fraud.exceptions,GlobalExceptionHandler,7,3,0,0,1,1,1,1,1,1
FraudDetectPoc,com.bguo.fraud,FraudDetectPocApplication,8,0,0,0,3,0,2,0,2,0
FraudDetectPoc,com.bguo.fraud.config,AwsClientConfig,0,26,0,0,0,8,0,2,0,2
FraudDetectPoc,com.bguo.fraud.config,AwsConfig.CloudWatchConfig,0,3,0,0,0,1,0,1,0,1
FraudDetectPoc,com.bguo.fraud.config,AwsConfig,0,3,0,0,0,1,0,1,0,1
FraudDetectPoc,com.bguo.fraud.config,EmbeddedRedisConfig,27,24,2,0,8,8,2,4,1,4
FraudDetectPoc,com.bguo.fraud.config,AwsConfig.SqsConfig,0,3,0,0,0,1,0,1,0,1
